 Document set number (Dnnn)
 |    Type (= Extract)
 |    | Target size (200, 400)
 |    | |   Document selector code (A-J)
 |    | |   | Peer summarizer code (manual[A-J] or system submission[15-31]
 |    | |   | |   Model summarizer code (A-J)
 |    | |   | |   |   Model sentences
 |    | |   | |   |   |     Peer sentences
 |    | |   | |   |   |     |    Model-only sentences
 |    | |   | |   |   |     |    |    Model and peer sentences
 |    | |   | |   |   |     |    |    |    Peer-only sentences
 |    | |   | |   |   |     |    |    |    |  Sentence precision
 |    | |   | |   |   |     |    |    |    |  |      Sentence recall
 |    | |   | |   |   |     |    |    |    |  |      |
 D100 E 400 E 20  F   11   19   10    1   18  0.053  0.091
 D100 E 400 E 20  H   25   19   25    0   19  0.000  0.000
 D100 E 400 E 21  F   11   14    7    4   10  0.286  0.364
 D100 E 400 E 21  H   25   14   22    3   11  0.214  0.120
 D100 E 400 E 22  F   11    8   11    0    8  0.000  0.000
 D100 E 400 E 22  H   25    8   25    0    8  0.000  0.000
 D100 E 400 E 24  F   11   12    8    3    9  0.250  0.273
 D100 E 400 E 24  H   25   12   24    1   11  0.083  0.040
 D100 E 400 E 25  F   11   14   10    1   13  0.071  0.091
 D100 E 400 E 25  H   25   14   24    1   13  0.071  0.040
 D100 E 400 E 28  F   11   14    8    3   11  0.214  0.273
 D100 E 400 E 28  H   25   14   23    2   12  0.143  0.080
 D100 E 400 E 29  F   11   19    9    2   17  0.105  0.182
 D100 E 400 E 29  H   25   19   23    2   17  0.105  0.080
 D100 E 400 E 31  F   11   11    9    2    9  0.182  0.182
 D100 E 400 E 31  H   25   11   24    1   10  0.091  0.040
 D101 E 200 E 16  F    6    3    6    0    3  0.000  0.000
 D101 E 200 E 16  G    6    3    6    0    3  0.000  0.000
 D101 E 200 E 19  F    6   12    6    0   12  0.000  0.000
 D101 E 200 E 19  G    6   12    6    0   12  0.000  0.000
 D101 E 200 E 20  F    6    6    6    0    6  0.000  0.000
 D101 E 200 E 20  G    6    6    6    0    6  0.000  0.000
 D101 E 200 E 21  F    6    5    5    1    4  0.200  0.167
 D101 E 200 E 21  G    6    5    5    1    4  0.200  0.167
 D101 E 200 E 22  F    6    4    6    0    4  0.000  0.000
 D101 E 200 E 22  G    6    4    6    0    4  0.000  0.000
 D101 E 200 E 24  F    6    6    5    1    5  0.167  0.167
 D101 E 200 E 24  G    6    6    5    1    5  0.167  0.167
 D101 E 200 E 25  F    6    4    5    1    3  0.250  0.167
 D101 E 200 E 25  G    6    4    5    1    3  0.250  0.167
 D101 E 200 E 28  F    6    4    6    0    4  0.000  0.000
 D101 E 200 E 28  G    6    4    6    0    4  0.000  0.000
 D101 E 200 E 29  F    6    9    5    1    8  0.111  0.167
 D101 E 200 E 29  G    6    9    5    1    8  0.111  0.167
 D101 E 200 E 31  F    6    5    6    0    5  0.000  0.000
 D101 E 200 E 31  G    6    5    6    0    5  0.000  0.000
 D101 E 400 E 16  F   11    6   10    1    5  0.167  0.091
 D101 E 400 E 16  G   15    6   15    0    6  0.000  0.000
 D101 E 400 E 19  F   11   23   11    0   23  0.000  0.000
 D101 E 400 E 19  G   15   23   14    1   22  0.043  0.067
 D101 E 400 E 20  F   11   16   10    1   15  0.062  0.091
 D101 E 400 E 20  G   15   16   13    2   14  0.125  0.133
 D101 E 400 E 21  F   11   11    9    2    9  0.182  0.182
 D101 E 400 E 21  G   15   11   11    4    7  0.364  0.267
 D101 E 400 E 22  F   11    8   11    0    8  0.000  0.000
 D101 E 400 E 22  G   15    8   15    0    8  0.000  0.000
 D101 E 400 E 24  F   11   14   10    1   13  0.071  0.091
 D101 E 400 E 24  G   15   14   14    1   13  0.071  0.067
 D101 E 400 E 25  F   11   10   10    1    9  0.100  0.091
 D101 E 400 E 25  G   15   10   14    1    9  0.100  0.067
 D101 E 400 E 28  F   11   12   11    0   12  0.000  0.000
 D101 E 400 E 28  G   15   12   15    0   12  0.000  0.000
 D101 E 400 E 29  F   11   14    9    2   12  0.143  0.182
 D101 E 400 E 29  G   15   14   13    2   12  0.143  0.133
 D101 E 400 E 31  F   11    9    9    2    7  0.222  0.182
 D101 E 400 E 31  G   15    9   15    0    9  0.000  0.000
 D102 E 200 E 16  F    9    4    9    0    4  0.000  0.000
 D102 E 200 E 16  I    9    4    9    0    4  0.000  0.000
 D102 E 200 E 19  F    9   15    7    2   13  0.133  0.222
 D102 E 200 E 19  I    9   15    9    0   15  0.000  0.000
 D102 E 200 E 20  F    9    7    8    1    6  0.143  0.111
 D102 E 200 E 20  I    9    7    8    1    6  0.143  0.111
 D102 E 200 E 21  F    9    6    9    0    6  0.000  0.000
 D102 E 200 E 21  I    9    6    8    1    5  0.167  0.111
 D102 E 200 E 22  F    9    4    9    0    4  0.000  0.000
 D102 E 200 E 22  I    9    4    9    0    4  0.000  0.000
 D102 E 200 E 24  F    9    7    9    0    7  0.000  0.000
 D102 E 200 E 24  I    9    7    6    3    4  0.429  0.333
 D102 E 200 E 25  F    9    6    9    0    6  0.000  0.000
 D102 E 200 E 25  I    9    6    9    0    6  0.000  0.000
 D102 E 200 E 28  F    9    6    8    1    5  0.167  0.111
 D102 E 200 E 28  I    9    6    9    0    6  0.000  0.000
 D102 E 200 E 29  F    9   13    9    0   13  0.000  0.000
 D102 E 200 E 29  I    9   13    9    0   13  0.000  0.000
 D102 E 200 E 31  F    9    6    9    0    6  0.000  0.000
 D102 E 200 E 31  I    9    6    9    0    6  0.000  0.000
 D102 E 400 E 16  F   17    9   17    0    9  0.000  0.000
 D102 E 400 E 16  I   17    9   15    2    7  0.222  0.118
 D102 E 400 E 19  F   17   28   14    3   25  0.107  0.176
 D102 E 400 E 19  I   17   28   14    3   25  0.107  0.176
 D102 E 400 E 20  F   17   20   16    1   19  0.050  0.059
 D102 E 400 E 20  I   17   20   16    1   19  0.050  0.059
 D102 E 400 E 21  F   17   13   16    1   12  0.077  0.059
 D102 E 400 E 21  I   17   13   13    4    9  0.308  0.235
 D102 E 400 E 22  F   17    8   17    0    8  0.000  0.000
 D102 E 400 E 22  I   17    8   17    0    8  0.000  0.000
 D102 E 400 E 24  F   17   15   16    1   14  0.067  0.059
 D102 E 400 E 24  I   17   15   13    4   11  0.267  0.235
 D102 E 400 E 25  F   17   14   17    0   14  0.000  0.000
 D102 E 400 E 25  I   17   14   16    1   13  0.071  0.059
 D102 E 400 E 28  F   17   12   16    1   11  0.083  0.059
 D102 E 400 E 28  I   17   12   13    4    8  0.333  0.235
 D102 E 400 E 29  F   17   18   16    1   17  0.056  0.059
 D102 E 400 E 29  I   17   18   12    5   13  0.278  0.294
 D102 E 400 E 31  F   17   12   17    0   12  0.000  0.000
 D102 E 400 E 31  I   17   12   16    1   11  0.083  0.059
 D103 E 200 G 16  A    9    6    8    1    5  0.167  0.111
 D103 E 200 G 16  E    9    6    8    1    5  0.167  0.111
 D103 E 200 G 19  A    9    7    7    2    5  0.286  0.222
 D103 E 200 G 19  E    9    7    8    1    6  0.143  0.111
 D103 E 200 G 20  A    9    9    6    3    6  0.333  0.333
 D103 E 200 G 20  E    9    9    6    3    6  0.333  0.333
 D103 E 200 G 21  A    9    9    9    0    9  0.000  0.000
 D103 E 200 G 21  E    9    9    7    2    7  0.222  0.222
 D103 E 200 G 22  A    9    4    9    0    4  0.000  0.000
 D103 E 200 G 22  E    9    4    9    0    4  0.000  0.000
 D103 E 200 G 24  A    9    7    7    2    5  0.286  0.222
 D103 E 200 G 24  E    9    7    8    1    6  0.143  0.111
 D103 E 200 G 25  A    9    8    8    1    7  0.125  0.111
 D103 E 200 G 25  E    9    8    8    1    7  0.125  0.111
 D103 E 200 G 28  A    9    7    8    1    6  0.143  0.111
 D103 E 200 G 28  E    9    7    8    1    6  0.143  0.111
 D103 E 200 G 29  A    9   10    9    0   10  0.000  0.000
 D103 E 200 G 29  E    9   10    9    0   10  0.000  0.000
 D103 E 200 G 31  A    9    7    9    0    7  0.000  0.000
 D103 E 200 G 31  E    9    7    9    0    7  0.000  0.000
 D103 E 400 G 16  A   19   12   17    2   10  0.167  0.105
 D103 E 400 G 16  E   16   12   13    3    9  0.250  0.188
 D103 E 400 G 19  A   19   14   15    4   10  0.286  0.211
 D103 E 400 G 19  E   16   14   12    4   10  0.286  0.250
 D103 E 400 G 20  A   19   18   14    5   13  0.278  0.263
 D103 E 400 G 20  E   16   18   11    5   13  0.278  0.312
 D103 E 400 G 21  A   19   17   15    4   13  0.235  0.211
 D103 E 400 G 21  E   16   17   10    6   11  0.353  0.375
 D103 E 400 G 22  A   19    8   19    0    8  0.000  0.000
 D103 E 400 G 22  E   16    8   16    0    8  0.000  0.000
 D103 E 400 G 24  A   19   17   15    4   13  0.235  0.211
 D103 E 400 G 24  E   16   17   12    4   13  0.235  0.250
 D103 E 400 G 25  A   19   16   14    5   11  0.312  0.263
 D103 E 400 G 25  E   16   16   11    5   11  0.312  0.312
 D103 E 400 G 28  A   19   16   15    4   12  0.250  0.211
 D103 E 400 G 28  E   16   16   11    5   11  0.312  0.312
 D103 E 400 G 29  A   19   17   18    1   16  0.059  0.053
 D103 E 400 G 29  E   16   17   14    2   15  0.118  0.125
 D103 E 400 G 31  A   19   14   16    3   11  0.214  0.158
 D103 E 400 G 31  E   16   14   12    4   10  0.286  0.250
 D104 E 200 G 16  A   17    6   17    0    6  0.000  0.000
 D104 E 200 G 16  C    9    6    9    0    6  0.000  0.000
 D104 E 200 G 19  A   17   11   17    0   11  0.000  0.000
 D104 E 200 G 19  C    9   11    8    1   10  0.091  0.111
 D104 E 200 G 20  A   17    7   15    2    5  0.286  0.118
 D104 E 200 G 20  C    9    7    9    0    7  0.000  0.000
 D104 E 200 G 21  A   17   11   16    1   10  0.091  0.059
 D104 E 200 G 21  C    9   11    8    1   10  0.091  0.111
 D104 E 200 G 22  A   17    8   17    0    8  0.000  0.000
 D104 E 200 G 22  C    9    8    9    0    8  0.000  0.000
 D104 E 200 G 24  A   17    7   16    1    6  0.143  0.059
 D104 E 200 G 24  C    9    7    9    0    7  0.000  0.000
 D104 E 200 G 25  A   17    8   17    0    8  0.000  0.000
 D104 E 200 G 25  C    9    8    8    1    7  0.125  0.111
 D104 E 200 G 28  A   17    7   16    1    6  0.143  0.059
 D104 E 200 G 28  C    9    7    9    0    7  0.000  0.000
 D104 E 200 G 29  A   17   11   16    1   10  0.091  0.059
 D104 E 200 G 29  C    9   11    9    0   11  0.000  0.000
 D104 E 200 G 31  A   17    8   16    1    7  0.125  0.059
 D104 E 200 G 31  C    9    8    8    1    7  0.125  0.111
 D104 E 400 G 16  A   26   12   23    3    9  0.250  0.115
 D104 E 400 G 16  C   17   12   12    5    7  0.417  0.294
 D104 E 400 G 19  A   26   23   23    3   20  0.130  0.115
 D104 E 400 G 19  C   17   23   15    2   21  0.087  0.118
 D104 E 400 G 20  A   26   15   23    3   12  0.200  0.115
 D104 E 400 G 20  C   17   15   13    4   11  0.267  0.235
 D104 E 400 G 21  A   26   18   23    3   15  0.167  0.115
 D104 E 400 G 21  C   17   18   15    2   16  0.111  0.118
 D104 E 400 G 22  A   26   11   26    0   11  0.000  0.000
 D104 E 400 G 22  C   17   11   17    0   11  0.000  0.000
 D104 E 400 G 24  A   26   17   22    4   13  0.235  0.154
 D104 E 400 G 24  C   17   17   15    2   15  0.118  0.118
 D104 E 400 G 25  A   26   16   26    0   16  0.000  0.000
 D104 E 400 G 25  C   17   16   12    5   11  0.312  0.294
 D104 E 400 G 28  A   26   15   24    2   13  0.133  0.077
 D104 E 400 G 28  C   17   15   15    2   13  0.133  0.118
 D104 E 400 G 29  A   26   17   24    2   15  0.118  0.077
 D104 E 400 G 29  C   17   17   13    4   13  0.235  0.235
 D104 E 400 G 31  A   26   17   24    2   15  0.118  0.077
 D104 E 400 G 31  C   17   17   15    2   15  0.118  0.118
 D105 E 200 G 16  C    8    3    8    0    3  0.000  0.000
